
Symbol table '.dynsym' contains 27118 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
    74: 0000000000b241e0    40 FUNC    GLOBAL DEFAULT   10 _ZN8tinyxml27XMLUtil10ToUnsignedEPKcPj
    75: 0000000000ad9828   108 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCDrawNode4drawEv
    76: 00000000007cc138    12 FUNC    GLOBAL DEFAULT   10 _ZN16MoreOptionsLayer10onPrevPageEPN7cocos2d8CCObjectE
    77: 0000000000da13d0   364 FUNC    GLOBAL DEFAULT   10 ERR_add_error_vdata
    78: 000000000086c1c4   836 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameLayer22triggerGradientCommandEP21GradientTriggerObject
    79: 000000000095a888   312 FUNC    GLOBAL DEFAULT   10 _ZN21SetupTouchTogglePopup20determineStartValuesEv
    80: 0000000000852568   128 FUNC    GLOBAL DEFAULT   10 _ZN16KeybindingsLayerD1Ev
    81: 0000000000b57bf4     4 FUNC    GLOBAL DEFAULT   10 _ZNK4pugi22xml_attribute_iteratordeEv
    82: 0000000000daaab0     8 FUNC    GLOBAL DEFAULT   10 EVP_MD_meth_get_copy
    83: 00000000006e373c    76 FUNC    GLOBAL DEFAULT   10 _ZN11UploadPopup6onBackEPN7cocos2d8CCObjectE
    84: 0000000000d1ef80    20 FUNC    GLOBAL DEFAULT   10 _ZNSt13bad_exceptionD1Ev
    85: 0000000000cbfe30    28 FUNC    GLOBAL DEFAULT   10 deflateInit_
    86: 0000000000a53dd4    36 FUNC    GLOBAL DEFAULT   10 _ZN16SelectEventLayerD0Ev
    87: 0000000000e9ed20    15 OBJECT  WEAK   DEFAULT   11 _ZTS12BoomListView
    88: 0000000000aad8c4   516 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9extension9WebSocket18onSubThreadStartedEv
    89: 00000000008b8a54  1004 FUNC    GLOBAL DEFAULT   10 _Z17timerItemToStringRK9TimerItem
    90: 000000000083aa80     8 FUNC    WEAK   DEFAULT   10 _ZThn320_N19NewgroundsInfoLayerD0Ev
    91: 00000000007ec4e8   124 FUNC    GLOBAL DEFAULT   10 _ZN13GJGroundLayer15updateLineBlendEb
    92: 0000000000b30298     8 FUNC    GLOBAL DEFAULT   10 _ZThn680_N7cocos2d14CCTextFieldTTF10insertTextEPKciNS_12enumKeyCodesE
    93: 00000000007400c0     8 FUNC    GLOBAL DEFAULT   10 _ZN16ColorSelectPopup14keyBackClickedEv
    94: 0000000000b40ea4    80 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d14CCMouseHandler16initWithDelegateEPNS_15CCMouseDelegateE
    95: 00000000011324a0    56 OBJECT  GLOBAL DEFAULT   17 CMS_Attributes_Sign_it
    96: 0000000001245a00     4 OBJECT  WEAK   DEFAULT   21 _ZZN7cocos2d20CCScriptHandlerEntryC4EiE10newEntryId
    97: 0000000000b10c98   384 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d11CCGLProgram28initWithVertexShaderFilenameEPKcS2_
    98: 0000000000641718   552 FUNC    GLOBAL DEFAULT   10 _ZN10GameObject20getObjectTextureRectEv
    99: 0000000000ab5fd0   464 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d18CCCardinalSplineBy7reverseEv
   100: 0000000000e77228    12 FUNC    GLOBAL DEFAULT   10 BN_is_prime_ex
   101: 0000000000d38480   148 FUNC    GLOBAL DEFAULT   10 ssl_fill_hello_random
   102: 00000000006650e4    68 FUNC    GLOBAL DEFAULT   10 _ZN13DrawGridLayer11addToGuidesEP10GameObject
   103: 0000000000db5a34    52 FUNC    GLOBAL DEFAULT   10 CRYPTO_get_mem_functions
   104: 00000000005c8530    40 FUNC    WEAK   DEFAULT   10 _ZN7cocos2d9CCInteger13acceptVisitorERNS_13CCDataVisitorE
   105: 0000000000aa0064   148 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9extension15CCControlSwitch12ccTouchMovedEPNS_7CCTouchEPNS_7CCEventE
   106: 00000000007db1b8   172 FUNC    GLOBAL DEFAULT   10 _ZN12SupportLayerD2Ev
   107: 0000000000cc8ca0   100 FUNC    GLOBAL DEFAULT   10 gzerror
   108: 0000000000a77ac8    76 FUNC    GLOBAL DEFAULT   10 _ZN15UploadListPopup14onReturnToListEPN7cocos2d8CCObjectE
   109: 0000000000b24f14    48 FUNC    GLOBAL DEFAULT   10 _ZN8tinyxml210XMLUnknownC2EPNS_11XMLDocumentE
   110: 0000000000f17320    19 OBJECT  WEAK   DEFAULT   11 _ZTSN7cocos2d7CCFlipXE
   111: 00000000005712e0   236 FUNC    GLOBAL DEFAULT   10 _ZN16CCAnimatedSprite12runAnimationESs
   112: 00000000006f1dcc   516 FUNC    GLOBAL DEFAULT   10 _ZN16GameLevelManager17updateLevelOrdersEv
   113: 0000000000f178c0    31 OBJECT  WEAK   DEFAULT   11 _ZTSN7cocos2d18CCFadeOutDownTilesE
   114: 0000000000b120e0    32 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d14ccGLUseProgramEj
   115: 0000000000866534   280 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameLayer15resetRecordFullEv
   116: 00000000008bf868   432 FUNC    GLOBAL DEFAULT   10 _ZN15GJEffectManager15colorForGroupIDEiRKN7cocos2d10_ccColor3BEb
   117: 0000000000afdb50  3864 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d16CCParticleSystem12initParticleEPNS_11sCCParticleE
   118: 0000000000e74924   624 FUNC    GLOBAL DEFAULT   10 BN_GF2m_add
   119: 00000000007db19c    28 FUNC    GLOBAL DEFAULT   10 _ZN13TutorialLayer6onNextEPN7cocos2d8CCObjectE
   120: 00000000007506bc   188 FUNC    GLOBAL DEFAULT   10 _ZN18ParticleGameObject20particleWasActivatedEv
   121: 000000000082974c   128 FUNC    GLOBAL DEFAULT   10 _ZN20MusicDownloadManager19downloadSongStartedEi
   122: 000000000085ff8c   184 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameLayer23getRotateCommandTargetsEP21EnhancedTriggerObjectRP10GameObjectS4_S4_
   123: 0000000000d37858     8 FUNC    GLOBAL DEFAULT   10 ssl3_handshake_write
   124: 0000000001200b40    24 OBJECT  WEAK   DEFAULT   17 _ZTIN7cocos2d8CCStringE
   125: 0000000000934bb8   252 FUNC    GLOBAL DEFAULT   10 _ZN17RewardUnlockLayer13playDropSoundEv
   126: 00000000008e9264   116 FUNC    GLOBAL DEFAULT   10 _ZN22SetupObjectTogglePopup14valueDidChangeEif
   127: 00000000009743cc   556 FUNC    GLOBAL DEFAULT   10 _ZN23SetupObjectOptionsPopup20determineStartValuesEv
   128: 0000000000b1d078    28 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d29getCharacterCountInUTF8StringERKSs
   129: 0000000000aa7c48   208 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9extension11CCTableViewD1Ev
   130: 0000000000c21d38  1252 FUNC    GLOBAL DEFAULT   10 jpeg_idct_11x11
   131: 0000000000df0218    20 FUNC    GLOBAL DEFAULT   10 i2d_DSAPrivateKey_bio
   132: 0000000000b2ae44    92 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d8ZipUtils21ccSetPvrEncryptionKeyEjjjj
   133: 0000000000de9948    84 FUNC    GLOBAL DEFAULT   10 X509_EXTENSION_set_object
   134: 000000000084804c     4 FUNC    GLOBAL DEFAULT   10 _ZN16GJAccountManager10firstSetupEv
   135: 0000000000957644   132 FUNC    WEAK   DEFAULT   10 _ZN23SetupPickupTriggerPopupD0Ev
   136: 0000000000c04c1c   300 FUNC    GLOBAL DEFAULT   10 jpeg_read_raw_data
   137: 00000000008218d4    20 FUNC    GLOBAL DEFAULT   10 _ZN17LevelFeatureLayer6onDownEPN7cocos2d8CCObjectE
   138: 0000000000ac01d0   268 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d8CCSkewTo15startWithTargetEPNS_6CCNodeE
   139: 0000000000d89d3c   108 FUNC    GLOBAL DEFAULT   10 DSA_set0_key
   140: 000000000057681c   504 FUNC    GLOBAL DEFAULT   10 _ZN17CCMenuItemToggler4initEPN7cocos2d6CCNodeES2_PNS0_8CCObjectEMS3_FvS4_E
   141: 0000000000af53f8   200 FUNC    WEAK   DEFAULT   10 _ZN7cocos2d14CCMenuItemFontD0Ev
   142: 0000000000a733ac     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N14LevelListLayerD1Ev
